,Unnamed: 0,DAY,MONTH,YEAR,LATITUDE,LONGITUDE,Date,Time,Type,Depth,Depth.Error,Depth.Seismic.Stations,Magnitude,Magnitude.Type,Magnitude.Error,Magnitude.Seismic.Stations,Azimuthal.Gap,Horizontal.Distance,Horizontal.Error,Root.Mean.Square,ID,Source,Location.Source,Magnitude.Source,Status,I_D,FLAG_TSUNAMI,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
0,1,1,1,1980,38.815,-27.78,1/1/1980,16:42:40,Earthquake,10.0,,,6.7,MS,,,,,,,USP00014TU,US,US,US,Reviewed,4868,Tsu,16,42,40.0,10.0,6.7,,6.7,6.0,,,,8.0,AZORES (PORTUGAL),,"AZORES:   TERCEIRA, ANGRA DO HEROISMO",130,69.0,2.0,,,600.0,3.0,5.0,2.0,,,,,69.0,2.0,,,600.0,3.0,5.0,2.0,,,,
1,2,1,1,1996,0.729,119.931,1/1/1996,8:05:11,Earthquake,24.0,,,7.9,MW,,,,,,1.2,USP00079ZV,US,US,HRV,Reviewed,5428,Tsu,8,5,10.8,24.0,7.9,7.9,7.6,6.3,,,,6.0,INDONESIA,,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",170,,,,,,,,1.0,,,,,9.0,1.0,,,63.0,2.0,1.2,2.0,400.0,3.0,,
2,3,1,1,2001,6.898,126.579,1/1/2001,6:57:04,Earthquake,33.0,,324.0,7.5,MWC,,,,,,1.06,USP000A70H,US,US,HRV,Reviewed,8952,,6,57,4.1,33.0,7.5,7.5,7.2,6.4,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,170,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1,1,2004,-8.31,115.788,1/1/2004,20:59:32,Earthquake,44.5,5.0,119.0,5.8,MWB,,,40.0,,,1.01,USP000CGSS,US,US,US,Reviewed,5752,,20,59,31.9,45.0,5.8,5.8,5.4,5.5,,,,6.0,INDONESIA,,"INDONESIA:  BALI, LOMBOK",170,1.0,1.0,,,29.0,1.0,,4.0,6000.0,4.0,,,1.0,1.0,,,29.0,1.0,,4.0,6000.0,4.0,,
4,5,1,1,2004,17.488,-101.303,1/1/2004,23:31:50,Earthquake,29.4,,361.0,6.1,MWC,,,74.1,,,0.97,USP000CGT8,US,US,HRV,Reviewed,5753,,23,31,50.0,29.0,6.1,6.1,5.7,5.6,,,,,MEXICO,,"MEXICO:  GUERRERO, MEXICO CITY",150,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
5,6,1,1,2008,40.288,72.985,1/1/2008,6:32:28,Earthquake,6.0,,489.0,5.6,MWC,,,35.1,,,0.94,USP000FVRZ,US,US,GCMT,Reviewed,7745,,6,32,27.9,6.0,5.6,5.6,5.4,5.8,,,,,KYRGYZSTAN,,KYRGYZSTAN:  OSH,40,,,,,,,,3.0,5385.0,4.0,,,,,,,,,,3.0,5385.0,4.0,,
6,7,1,10,1995,38.063,30.134,10/1/1995,15:57:16,Earthquake,33.0,,,6.4,MW,,,,,,1.1,USP000749B,US,US,HRV,Reviewed,5419,,15,57,16.2,33.0,6.4,6.4,6.2,5.8,,,,8.0,TURKEY,,"TURKEY:   DINAR, EVCILER",140,95.0,2.0,,,348.0,3.0,205.8,4.0,5100.0,4.0,,,95.0,2.0,,,348.0,3.0,205.8,4.0,5100.0,4.0,,
7,8,1,10,2003,50.211,87.721,10/1/2003,1:03:25,Earthquake,10.0,,643.0,6.7,MWB,,,24.5,,,0.88,USP000C96T,US,US,US,Reviewed,5728,,1,3,25.2,10.0,6.7,6.7,7.1,6.3,,,,,RUSSIA,,"RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",40,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0
8,9,1,10,2004,11.989,-86.52,10/1/2004,8:01:01,Earthquake,87.3,,294.0,5.6,MWC,,,43.2,,,1.16,USP000D5G6,US,US,HRV,Reviewed,5825,,8,1,1.3,87.0,5.6,5.6,,5.1,,,,,NICARAGUA,,"NICARAGUA:  CHINANDEGA, LEON",100,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
9,10,1,11,1975,13.843,144.754,11/1/1975,1:17:34,Earthquake,113.0,,,6.1,MB,,,,,,,USP0000DCW,US,US,US,Reviewed,7202,,1,17,33.9,113.0,6.1,,,6.1,,,,7.0,USA TERRITORY,GU,GUAM,170,,,,,,,,1.0,,,,,,,,,,,,,,,,
10,11,1,11,1989,39.837,142.76,11/1/1989,18:25:35,Earthquake,28.6,,,7.4,MW,,,,,,1.1,USP00041KG,US,US,HRV,Reviewed,5217,Tsu,18,25,34.9,29.0,7.4,,7.4,6.4,,,,6.0,JAPAN,,"JAPAN:  HONSHU: N, AOMORI, MISAWA",30,,,,,,,,1.0,,,,,,,,,,,,,,,,
11,12,1,11,1995,-28.906,-71.417,11/1/1995,0:35:33,Earthquake,19.9,,,6.7,MW,,,,,,1.1,USP000762S,US,US,HRV,Reviewed,6606,Tsu,0,35,32.7,20.0,6.7,6.7,6.4,6.3,,,,,CHILE,,CHILE:  NEAR CENTRAL COAST,160,,,,,,,,,,,,,,,,,,,,,,,,
12,13,1,11,2011,43.648,82.437,11/1/2011,0:21:28,Earthquake,28.0,,512.0,5.6,MWW,,,16.1,,,0.78,USP000JA68,US,US,US,Reviewed,9849,,0,21,28.0,28.0,5.6,5.6,5.4,6.0,,,,,CHINA,,CHINA:  XINJIANG PROVINCE,40,,,,,,,10.5,3.0,2453.0,4.0,,3.0,,,,,,,10.5,3.0,2453.0,2.0,,3.0
13,14,1,12,2003,42.905,80.515,12/1/2003,1:38:32,Earthquake,10.0,,502.0,6.0,MWC,,,29.8,,,1.05,USP000CE8K,US,US,HRV,Reviewed,5738,,1,38,31.9,10.0,6.0,6.0,5.9,6.0,,,,,CHINA,,CHINA:  XINJIANG:  ZHAOSU,40,11.0,1.0,,,47.0,1.0,,3.0,769.0,3.0,,,11.0,1.0,,,47.0,1.0,,3.0,769.0,3.0,,
14,15,1,2,1984,34.616,70.484,2/1/1984,14:22:08,Earthquake,33.0,,,6.1,MW,,,,,,1.2,USP00021QK,US,US,HRV,Reviewed,5022,,14,22,7.9,33.0,5.8,,5.8,5.9,,,,4.0,AFGHANISTAN,,"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",40,1.0,1.0,,,35.0,1.0,5.0,2.0,,,,,1.0,1.0,,,35.0,1.0,5.0,2.0,,,,
15,16,1,2,1992,35.106,139.644,2/1/1992,19:04:05,Earthquake,100.0,,,5.8,MW,,,,,,0.9,USP00052GF,US,US,HRV,Reviewed,8252,,19,4,4.5,100.0,5.6,,,5.6,,,,,JAPAN,,JAPAN:  HONSHU:  TOKYO,30,,,,,37.0,1.0,,1.0,,,,,,,,,37.0,1.0,,1.0,,,,
16,17,1,3,1994,29.096,52.617,3/1/1994,3:49:01,Earthquake,12.9,,,6.1,MW,,,,,,1.1,USP000693T,US,US,HRV,Reviewed,5381,,3,49,0.8,13.0,6.1,6.1,6.0,5.8,,,,,IRAN,,IRAN:  SOUTHERN:  FIRUZABAD,140,2.0,1.0,,,50.0,1.0,,1.0,,,,1.0,2.0,1.0,,,50.0,1.0,,1.0,,,,1.0
